x,y,z
234.0,230.0,800.196
234.0,230.1,802.489
233.5,230.09,802.95
232.65,229.38,803.735
229.28,227.54,801.696
223.86,225.89,807.301
218.87,224.7,817.664
214.38,224.33,824.742
207.45,225.0,829.96
198.2,227.0,834.486
185.48,230.4,843.54
170.13,234.06,849.267
153.92,237.35,851.911
136.93,240.22,853.179
120.63,242.8,856.562
105.17,245.32,858.356
94.25,247.78,859.247
90.83,250.51,860.993
94.45,254.26,857.763
101.5,258.43,855.666
109.65,262.39,857.853
118.09,266.45,864.721
124.78,271.6,869.084
130.4,277.84,875.728
135.06,286.46,885.901
138.95,295.61,889.186
139.96,297.55,888.38
137.56,295.0,882.735
132.61,292.0,882.635
126.55,289.5,880.063
120.79,287.85,872.78
116.41,288.16,861.818
113.47,289.55,846.906
114.32,291.99,829.699
121.59,293.99,812.182
135.93,302.89,815.473
121.84,290.7,827.091
109.46,280.53,842.54
98.21,271.48,858.394
88.09,263.33,871.03
79.38,256.2,884.531
71.44,249.68,890.985
63.8,244.01,899.101
57.22,238.01,910.221
51.3,232.91,919.268
45.97,228.32,925.72
41.07,224.29,930.388
35.66,219.86,934.422
30.6,217.37,938.914
25.14,214.33,946.393
21.12,211.8,948.229
18.11,209.32,948.812
15.4,206.79,952.95
12.86,204.51,956.026
10.47,202.46,957.736
7.33,200.51,960.748
3.89,199.16,960.309
5.6,198.35,957.857
14.64,199.71,962.254
25.98,200.54,964.43
38.78,194.19,980.22
32.0,174.87,972.241
24.8,171.58,962.622
26.82,166.62,945.167
38.44,162.96,922.317
58.0,158.36,900.938
79.5,154.33,884.046
100.05,149.0,882.122
122.14,149.9,804.074
141.43,151.21,734.515
157.69,151.29,669.789
176.22,151.46,608.871
192.6,151.71,556.098
206.44,152.34,509.456
218.59,152.81,467.295
228.83,153.43,435.942
237.95,154.18,413.357
246.05,154.96,393.07
253.45,155.57,371.031
260.3,156.11,339.116
266.57,156.5,311.886
272.02,156.95,285.084
276.91,157.46,264.087
281.32,158.01,255.744
285.39,158.51,250.952
289.05,158.96,244.296
292.35,159.46,235.948
295.21,159.92,230.736
297.79,160.32,218.88
300.21,160.69,215.24
302.29,160.92,214.196
304.26,161.23,197.829
306.04,161.61,182.643
307.73,161.85,168.256
309.26,162.06,155.078
310.73,162.26,144.663
311.96,162.43,134.598
312.86,162.39,127.958
313.68,161.95,204.873
314.51,162.15,270.047
315.26,161.54,326.87
315.93,161.78,374.971
316.14,161.61,418.552
316.53,161.35,459.6
317.07,161.21,499.198
317.47,161.09,454.914
317.82,160.98,414.443
318.14,160.98,378.146
318.42,160.98,342.499
318.68,160.99,309.296
318.91,160.99,281.323
319.12,160.99,258.518
319.31,160.99,240.053
319.48,160.99,221.814
319.73,160.99,206.824
319.96,160.99,189.693
320.06,160.99,175.684
320.16,161.09,160.39
320.24,161.08,149.891
320.42,161.08,141.057
320.47,161.07,134.075
320.63,161.06,128.61
320.66,160.96,123.486
320.7,160.86,117.342
320.73,160.77,112.317
320.76,160.7,107.513
320.78,160.73,103.085
320.8,160.75,98.889
320.92,160.78,95.64
321.03,160.8,94.269
321.03,160.72,92.741
321.12,160.65,90.249
321.21,160.48,88.404
321.19,160.34,87.561
321.17,160.1,88.034
321.15,159.89,87.975
321.14,159.7,83.441
321.32,159.43,82.826
321.39,158.89,88.048
321.45,158.7,90.648
321.51,158.73,89.676
321.56,158.56,89.246
321.7,158.5,85.555
321.93,158.75,81.768
322.04,158.78,80.574
322.03,158.6,78.311
322.03,158.44,73.91
322.43,158.79,79.387
322.68,159.22,155.03
322.92,159.49,229.705
323.32,159.44,272.593
323.49,159.2,309.107
323.74,158.88,316.334
323.67,158.69,303.656
323.4,159.02,274.136
323.56,159.12,251.944
323.51,159.11,231.413
323.26,159.0,217.773
323.03,158.7,206.886
322.73,158.33,194.744
322.55,157.9,183.17
323.0,157.41,178.451
323.5,156.87,232.589
324.05,156.48,224.196
324.04,156.23,211.939
323.94,155.81,197.633
324.35,155.33,271.977
325.31,154.59,333.066
326.28,154.13,319.771
326.95,153.72,382.389
327.96,153.25,444.599
330.46,152.82,424.195
333.41,152.64,404.099
337.07,152.48,379.299
341.27,151.73,353.03
345.04,151.46,332.45
348.54,151.21,316.232
351.38,151.19,322.928
351.94,151.17,320.715
350.95,151.15,382.127
349.85,151.14,434.943
349.77,151.22,478.744
350.59,151.3,456.105
351.33,151.27,437.902
351.9,151.04,418.361
353.11,150.74,393.02
354.0,150.47,371.141
354.3,149.92,360.408
354.47,149.23,341.436
355.02,148.6,319.958
355.22,148.34,304.684
354.4,148.11,290.938
354.96,148.0,275.717
355.66,147.9,262.402
356.2,147.81,248.466
356.88,147.73,236.979
358.79,148.56,233.475
360.31,149.5,234.886
364.08,151.55,231.941
367.87,152.89,230.941
369.98,153.41,225.275
371.79,153.76,221.17
374.31,154.09,231.826
374.78,153.98,221.926
373.1,153.28,210.961
368.79,152.85,202.792
365.41,152.17,196.44
365.27,151.65,188.929
365.64,151.29,186.484
365.68,151.16,183.582
363.71,150.84,178.134
360.04,150.56,173.559
355.84,150.2,166.79
356.25,149.78,166.393
358.23,149.6,166.349
360.6,149.44,171.462
362.24,149.4,177.196
363.72,149.46,181.636
365.95,149.81,204.729
368.35,150.23,212.406
369.32,150.41,212.152
369.79,150.67,208.264
369.51,150.5,206.976
369.06,150.55,206.184
368.65,150.5,208.8
368.39,150.45,209.966
368.15,150.4,205.905
368.13,150.06,200.408
368.02,149.76,195.513
367.92,149.38,186.609
367.43,149.14,181.756
